second,Volt,Volt2
-382.002E-06,-3.255000025E+00,-263.750004E-03
-381.002E-06,-3.255000025E+00,-263.750004E-03
-380.002E-06,-3.255000025E+00,-269.988129E-03
-379.002E-06,-3.255000025E+00,-270.000004E-03
-378.002E-06,-3.100292974E+00,-263.761817E-03
-377.002E-06,-3.254707850E+00,-269.988223E-03
-376.002E-06,-3.100291424E+00,-270.000004E-03
-375.002E-06,-3.254709400E+00,-263.761723E-03
-374.002E-06,-3.255000025E+00,-269.988317E-03
-373.002E-06,-3.100289099E+00,-270.000004E-03
-372.002E-06,-3.254711725E+00,-270.000004E-03
-371.002E-06,-3.255000025E+00,-263.761598E-03
-370.002E-06,-3.100286774E+00,-263.750004E-03
-369.002E-06,-3.100000024E+00,-269.988473E-03
-368.002E-06,-3.254714825E+00,-270.000004E-03
-367.002E-06,-3.255000025E+00,-270.000004E-03
-366.002E-06,-3.255000025E+00,-276.238567E-03
-365.002E-06,-3.255000025E+00,-263.772817E-03
-364.002E-06,-3.255000025E+00,-263.750004E-03
-363.002E-06,-3.255000025E+00,-269.988660E-03
-362.002E-06,-3.255000025E+00,-263.761317E-03
-361.002E-06,-3.255000025E+00,-263.750004E-03
-360.002E-06,-3.100279024E+00,-269.988754E-03
-359.002E-06,-3.254721800E+00,-263.761223E-03
-358.002E-06,-3.255000025E+00,-269.988817E-03
-357.002E-06,-3.255000025E+00,-270.000004E-03
-356.002E-06,-3.255000025E+00,-270.000004E-03
-355.002E-06,-3.255000025E+00,-263.761098E-03
-354.002E-06,-3.255000025E+00,-263.750004E-03
-353.002E-06,-3.100273599E+00,-263.750004E-03
-352.002E-06,-3.254727225E+00,-269.989004E-03
-351.002E-06,-3.255000025E+00,-263.760973E-03
-350.002E-06,-3.255000025E+00,-269.989067E-03
-349.002E-06,-3.255000025E+00,-263.760910E-03
-348.002E-06,-3.255000025E+00,-263.750004E-03
-347.002E-06,-3.255000025E+00,-263.750004E-03
-346.002E-06,-3.255000025E+00,-269.989192E-03
-345.002E-06,-3.255000025E+00,-263.760785E-03
-344.002E-06,-3.100266624E+00,-263.750004E-03
-343.002E-06,-3.254734200E+00,-263.750004E-03
-342.002E-06,-3.255000025E+00,-263.750004E-03
-341.002E-06,-3.255000025E+00,-263.750004E-03
-340.002E-06,-3.255000025E+00,-269.989379E-03
-339.002E-06,-3.255000025E+00,-263.760598E-03
-338.002E-06,-3.255000025E+00,-263.750004E-03
-337.002E-06,-3.255000025E+00,-269.989473E-03
-336.002E-06,-3.409739626E+00,-263.760504E-03
-335.002E-06,-3.255259650E+00,-269.989535E-03
-334.002E-06,-3.255000025E+00,-263.760442E-03
-333.002E-06,-3.255000025E+00,-263.750004E-03
-332.002E-06,-3.255000025E+00,-269.989629E-03
-331.002E-06,-3.100256549E+00,-263.760348E-03
-330.002E-06,-3.254744275E+00,-269.989692E-03
-329.002E-06,-3.255000025E+00,-270.000004E-03
-328.002E-06,-3.409745826E+00,-270.000004E-03
-327.002E-06,-3.255253450E+00,-270.000004E-03
-326.002E-06,-3.255000025E+00,-270.000004E-03
-325.002E-06,-3.255000025E+00,-270.000004E-03
-324.002E-06,-3.255000025E+00,-270.000004E-03
-323.002E-06,-3.255000025E+00,-270.000004E-03
-322.002E-06,-3.409750476E+00,-263.760067E-03
-321.002E-06,-3.410000026E+00,-269.989973E-03
-320.002E-06,-3.255248025E+00,-270.000004E-03
-319.002E-06,-3.409752801E+00,-276.240036E-03
-318.002E-06,-3.410000026E+00,-270.009942E-03
-317.002E-06,-3.410000026E+00,-270.000004E-03
-316.002E-06,-3.410000026E+00,-270.000004E-03
-315.002E-06,-3.255244150E+00,-276.240161E-03
-314.002E-06,-3.255000025E+00,-276.250004E-03
-313.002E-06,-3.409757451E+00,-270.009785E-03
-312.002E-06,-3.255241825E+00,-270.000004E-03
-311.002E-06,-3.409759001E+00,-270.000004E-03
-310.002E-06,-3.410000026E+00,-276.240317E-03
-309.002E-06,-3.255239500E+00,-270.009660E-03
-308.002E-06,-3.409761326E+00,-270.000004E-03
-307.002E-06,-3.410000026E+00,-270.000004E-03
-306.002E-06,-3.410000026E+00,-270.000004E-03
-305.002E-06,-3.410000026E+00,-263.759535E-03
-304.002E-06,-3.410000026E+00,-269.990504E-03
-303.002E-06,-3.255234850E+00,-276.240536E-03
-302.002E-06,-3.255000025E+00,-270.009442E-03
-301.002E-06,-3.409766751E+00,-270.000004E-03
-300.001E-06,-3.410000026E+00,-276.240629E-03
-299.001E-06,-3.255231750E+00,-263.768692E-03
-298.001E-06,-3.255000025E+00,-269.990692E-03
-297.001E-06,-3.255000025E+00,-276.240723E-03
-296.001E-06,-3.409770626E+00,-270.009254E-03
-295.001E-06,-3.255228650E+00,-263.759223E-03
-294.001E-06,-3.409772176E+00,-269.990817E-03
-293.001E-06,-3.255227100E+00,-270.000004E-03
-292.001E-06,-3.255000025E+00,-270.000004E-03
-291.001E-06,-3.255000025E+00,-276.240911E-03
-290.001E-06,-3.100224774E+00,-270.009067E-03
-289.001E-06,-3.409552076E+00,-270.000004E-03
-288.001E-06,-3.255223225E+00,-270.000004E-03
-287.001E-06,-3.255000025E+00,-276.241036E-03
-286.001E-06,-3.409778376E+00,-270.008942E-03
-285.001E-06,-3.255220900E+00,-270.000004E-03
-284.001E-06,-3.255000025E+00,-276.241129E-03
-283.001E-06,-3.255000025E+00,-263.767692E-03
-282.001E-06,-3.409781476E+00,-269.991192E-03
-281.001E-06,-3.255217800E+00,-270.000004E-03
-280.001E-06,-3.255000025E+00,-270.000004E-03
-279.001E-06,-3.409783801E+00,-276.241286E-03
-278.001E-06,-3.410000026E+00,-270.008692E-03
-277.001E-06,-3.255214700E+00,-276.241348E-03
-276.001E-06,-3.409786126E+00,-276.250004E-03
-275.001E-06,-3.410000026E+00,-270.008598E-03
-274.001E-06,-3.410000026E+00,-276.241442E-03
-273.001E-06,-3.410000026E+00,-270.008535E-03
-272.001E-06,-3.255210825E+00,-276.241504E-03
-271.001E-06,-3.409790001E+00,-270.008473E-03
-270.001E-06,-3.410000026E+00,-276.241567E-03
-269.001E-06,-3.410000026E+00,-276.250004E-03
-268.001E-06,-3.255207725E+00,-270.008379E-03
-267.001E-06,-3.255000025E+00,-276.241661E-03
-266.001E-06,-3.409793876E+00,-276.250004E-03
-265.001E-06,-3.410000026E+00,-276.250004E-03
-264.001E-06,-3.255204625E+00,-270.008254E-03
-263.001E-06,-3.409796201E+00,-276.241786E-03
-262.001E-06,-3.255203075E+00,-270.008192E-03
-261.001E-06,-3.409797751E+00,-276.241848E-03
-260.001E-06,-3.255201525E+00,-276.250004E-03
-259.001E-06,-3.409799301E+00,-276.250004E-03
-258.001E-06,-3.255199975E+00,-263.766129E-03
-257.001E-06,-3.409800851E+00,-269.991973E-03
-256.001E-06,-3.255198425E+00,-270.000004E-03
-255.001E-06,-3.409802401E+00,-276.242036E-03
-254.001E-06,-3.410000026E+00,-270.007942E-03
-253.001E-06,-3.410000026E+00,-270.000004E-03
-252.001E-06,-3.410000026E+00,-270.000004E-03
-251.001E-06,-3.255194550E+00,-270.000004E-03
-250.001E-06,-3.409806276E+00,-276.242192E-03
-249.001E-06,-3.410000026E+00,-270.007785E-03
-248.001E-06,-3.410000026E+00,-276.242254E-03
-247.001E-06,-3.410000026E+00,-276.250004E-03
-246.001E-06,-3.410000026E+00,-270.007692E-03
-245.001E-06,-3.410000026E+00,-270.000004E-03
-244.001E-06,-3.410000026E+00,-282.484754E-03
-243.001E-06,-3.410000026E+00,-270.015192E-03
-242.001E-06,-3.410000026E+00,-270.000004E-03
-241.001E-06,-3.410000026E+00,-270.000004E-03
-240.001E-06,-3.410000026E+00,-276.242504E-03
-239.001E-06,-3.410000026E+00,-270.007473E-03
-238.001E-06,-3.410000026E+00,-276.242567E-03
-237.001E-06,-3.410000026E+00,-263.764817E-03
-236.001E-06,-3.410000026E+00,-269.992629E-03
-235.001E-06,-3.410000026E+00,-276.242661E-03
-234.001E-06,-3.410000026E+00,-270.007317E-03
-233.001E-06,-3.410000026E+00,-276.242723E-03
-232.001E-06,-3.410000026E+00,-276.250004E-03
-231.001E-06,-3.410000026E+00,-276.250004E-03
-230.001E-06,-3.410000026E+00,-276.250004E-03
-229.001E-06,-3.410000026E+00,-276.250004E-03
-228.001E-06,-3.410000026E+00,-276.250004E-03
-227.001E-06,-3.410000026E+00,-270.007098E-03
-226.001E-06,-3.564824877E+00,-276.242942E-03
-225.001E-06,-3.410174401E+00,-276.250004E-03
-224.001E-06,-3.564826427E+00,-270.007004E-03
-223.001E-06,-3.410172851E+00,-270.000004E-03
-222.001E-06,-3.564827977E+00,-276.243067E-03
-221.001E-06,-3.410171301E+00,-276.250004E-03
-220.001E-06,-3.410000026E+00,-270.006879E-03
-219.001E-06,-3.564830302E+00,-276.243161E-03
-218.001E-06,-3.410168976E+00,-276.250004E-03
-217.001E-06,-3.564831852E+00,-276.250004E-03
-216.001E-06,-3.410167426E+00,-276.250004E-03
-215.001E-06,-3.410000026E+00,-282.493286E-03
-214.001E-06,-3.410000026E+00,-276.256692E-03
-213.001E-06,-3.564834952E+00,-270.006660E-03
-212.001E-06,-3.410164326E+00,-276.243379E-03
-211.001E-06,-3.410000026E+00,-276.250004E-03
-210.001E-06,-3.410000026E+00,-276.250004E-03
-209.001E-06,-3.410000026E+00,-276.250004E-03
-208.001E-06,-3.564838827E+00,-276.250004E-03
-207.001E-06,-3.565000027E+00,-276.250004E-03
-206.001E-06,-3.410159676E+00,-282.493567E-03
-205.001E-06,-3.410000026E+00,-276.256411E-03
-204.001E-06,-3.410000026E+00,-276.250004E-03
-203.001E-06,-3.410000026E+00,-276.250004E-03
-202.001E-06,-3.410000026E+00,-276.250004E-03
-201.001E-06,-3.410000026E+00,-270.006285E-03
-200.001E-06,-3.410000026E+00,-276.243754E-03
-199.001E-06,-3.564845802E+00,-276.250004E-03
-198.001E-06,-3.565000027E+00,-270.006192E-03
-197.001E-06,-3.410152701E+00,-282.487692E-03
-196.001E-06,-3.255151925E+00,-276.256129E-03
-195.001E-06,-3.409848901E+00,-276.250004E-03
-194.001E-06,-3.410000026E+00,-282.493942E-03
-193.001E-06,-3.410000026E+00,-276.256036E-03
-192.001E-06,-3.410000026E+00,-276.250004E-03
-191.001E-06,-3.410000026E+00,-282.494036E-03
-190.001E-06,-3.410000026E+00,-276.255942E-03
-189.001E-06,-3.410000026E+00,-282.494098E-03
-188.001E-06,-3.410000026E+00,-270.011754E-03
-187.001E-06,-3.410000026E+00,-270.000004E-03
-186.001E-06,-3.410000026E+00,-276.244192E-03
-185.001E-06,-3.410000026E+00,-282.494223E-03
-184.001E-06,-3.410000026E+00,-276.255754E-03
-183.001E-06,-3.410000026E+00,-270.005723E-03
-182.001E-06,-3.410000026E+00,-282.488629E-03
-181.001E-06,-3.564859752E+00,-276.255661E-03
-180.001E-06,-3.565000027E+00,-270.005629E-03
-179.001E-06,-3.565000027E+00,-276.244411E-03
-178.001E-06,-3.410137976E+00,-276.250004E-03
-177.001E-06,-3.410000026E+00,-276.250004E-03
-176.001E-06,-3.410000026E+00,-270.005504E-03
-175.001E-06,-3.410000026E+00,-276.244536E-03
-174.001E-06,-3.410000026E+00,-276.250004E-03
-173.001E-06,-3.564865952E+00,-276.250004E-03
-172.001E-06,-3.410133326E+00,-276.250004E-03
-171.001E-06,-3.564867502E+00,-276.250004E-03
-170.001E-06,-3.565000027E+00,-282.494692E-03
-169.001E-06,-3.565000027E+00,-276.255286E-03
-168.001E-06,-3.410130226E+00,-282.494754E-03
-167.001E-06,-3.564870602E+00,-282.500004E-03
-166.001E-06,-3.255257325E+00,-276.255192E-03
-165.001E-06,-3.564744277E+00,-282.494848E-03
-164.001E-06,-3.410127126E+00,-276.255129E-03
-163.001E-06,-3.564873702E+00,-276.250004E-03
-162.001E-06,-3.565000027E+00,-276.250004E-03
-161.001E-06,-3.410124801E+00,-282.494973E-03
-160.001E-06,-3.410000026E+00,-276.255004E-03
-159.001E-06,-3.564876802E+00,-276.250004E-03
-158.001E-06,-3.410122476E+00,-276.250004E-03
-157.001E-06,-3.410000026E+00,-276.250004E-03
-156.001E-06,-3.564879127E+00,-276.250004E-03
-155.001E-06,-3.565000027E+00,-282.495161E-03
-154.001E-06,-3.565000027E+00,-276.254817E-03
-153.001E-06,-3.565000027E+00,-282.495223E-03
-152.001E-06,-3.565000027E+00,-276.254754E-03
-151.001E-06,-3.565000027E+00,-282.495286E-03
-150.001E-06,-3.565000027E+00,-282.500004E-03
-149.001E-06,-3.565000027E+00,-276.254661E-03
-148.001E-06,-3.565000027E+00,-282.495379E-03
-147.001E-06,-3.565000027E+00,-282.500004E-03
-146.001E-06,-3.565000027E+00,-282.500004E-03
-145.001E-06,-3.410112401E+00,-282.500004E-03
-144.001E-06,-3.564888427E+00,-282.500004E-03
-143.001E-06,-3.565000027E+00,-282.500004E-03
-142.001E-06,-3.565000027E+00,-270.008879E-03
-141.001E-06,-3.565000027E+00,-276.245598E-03
-140.001E-06,-3.565000027E+00,-282.495629E-03
-139.001E-06,-3.410107751E+00,-282.500004E-03
-138.001E-06,-3.564893077E+00,-276.254317E-03
-137.001E-06,-3.410106201E+00,-276.250004E-03
-136.001E-06,-3.719789229E+00,-282.495754E-03
-135.001E-06,-3.565104652E+00,-276.254223E-03
-134.001E-06,-3.565000027E+00,-282.495817E-03
-133.001E-06,-3.565000027E+00,-276.254161E-03
-132.001E-06,-3.565000027E+00,-288.741754E-03
-131.001E-06,-3.565000027E+00,-282.504098E-03
-130.001E-06,-3.565000027E+00,-270.008129E-03
-129.001E-06,-3.565000027E+00,-282.491942E-03
-128.001E-06,-3.410099226E+00,-282.500004E-03
-127.001E-06,-3.564901602E+00,-282.500004E-03
-126.001E-06,-3.565000027E+00,-282.500004E-03
-125.001E-06,-3.565000027E+00,-282.500004E-03
-124.001E-06,-3.410096126E+00,-276.253879E-03
-123.001E-06,-3.564904702E+00,-276.250004E-03
-122.001E-06,-3.410094576E+00,-282.496192E-03
-121.001E-06,-3.564906252E+00,-276.253786E-03
-120.001E-06,-3.565000027E+00,-282.496254E-03
-119.001E-06,-3.565000027E+00,-282.500004E-03
-118.001E-06,-3.565000027E+00,-276.253692E-03
-117.001E-06,-3.565000027E+00,-282.496348E-03
-116.001E-06,-3.565000027E+00,-282.500004E-03
-115.001E-06,-3.719910904E+00,-282.500004E-03
-114.001E-06,-3.565088377E+00,-282.500004E-03
-113.001E-06,-3.719912454E+00,-282.500004E-03
-112.001E-06,-3.720000029E+00,-282.500004E-03
-111.001E-06,-3.410172076E+00,-282.500004E-03
-110.001E-06,-3.564914777E+00,-282.500004E-03
-109.001E-06,-3.565000027E+00,-282.500004E-03
-108.001E-06,-3.565000027E+00,-282.500004E-03
-107.001E-06,-3.565000027E+00,-282.500004E-03
-106.001E-06,-3.719917879E+00,-282.500004E-03
-105.001E-06,-3.565081402E+00,-282.500004E-03
-104.001E-06,-3.565000027E+00,-282.500004E-03
-103.001E-06,-3.719920204E+00,-282.500004E-03
-102.001E-06,-3.565079077E+00,-276.253192E-03
-101.001E-06,-3.565000027E+00,-282.496848E-03
-100.000E-06,-3.565000027E+00,-276.253129E-03
-99.000E-06,-3.565000027E+00,-282.496911E-03
-98.000E-06,-3.410075976E+00,-288.746942E-03
-97.000E-06,-3.719849679E+00,-282.503036E-03
-96.000E-06,-3.410148826E+00,-282.500004E-03
-95.000E-06,-3.564926402E+00,-282.500004E-03
-94.000E-06,-3.565000027E+00,-276.252942E-03
-93.000E-06,-3.565000027E+00,-282.497098E-03
-92.000E-06,-3.565000027E+00,-282.500004E-03
-91.000E-06,-3.719929504E+00,-288.747161E-03
-90.000E-06,-3.565069777E+00,-282.502817E-03
-89.000E-06,-3.565000027E+00,-282.500004E-03
-88.000E-06,-3.565000027E+00,-282.500004E-03
-87.000E-06,-3.565000027E+00,-282.500004E-03
-86.000E-06,-3.565000027E+00,-282.500004E-03
-85.000E-06,-3.565000027E+00,-282.500004E-03
-84.000E-06,-3.565000027E+00,-282.500004E-03
-83.000E-06,-3.719935704E+00,-282.500004E-03
-82.000E-06,-3.410127126E+00,-288.747442E-03
-81.000E-06,-3.564937252E+00,-288.750004E-03
-80.000E-06,-3.565000027E+00,-288.750004E-03
-79.000E-06,-3.719938804E+00,-270.007410E-03
-78.000E-06,-3.720000029E+00,-282.495129E-03
-77.000E-06,-3.565059702E+00,-276.252411E-03
-76.000E-06,-3.565000027E+00,-276.250004E-03
-75.000E-06,-3.565000027E+00,-288.745317E-03
-74.000E-06,-3.719942679E+00,-282.502317E-03
-73.000E-06,-3.565056602E+00,-282.500004E-03
-72.000E-06,-3.719944229E+00,-288.747754E-03
-71.000E-06,-3.720000029E+00,-288.750004E-03
-70.000E-06,-3.565054277E+00,-282.502192E-03
-69.000E-06,-3.565000027E+00,-282.500004E-03
-68.000E-06,-3.565000027E+00,-282.500004E-03
-67.000E-06,-3.719948104E+00,-282.500004E-03
-66.000E-06,-3.720000029E+00,-282.500004E-03
-65.000E-06,-3.720000029E+00,-282.500004E-03
-64.000E-06,-3.565049627E+00,-282.500004E-03
-63.000E-06,-3.719951204E+00,-282.500004E-03
-62.000E-06,-3.565048077E+00,-288.748067E-03
-61.000E-06,-3.565000027E+00,-276.253817E-03
-60.000E-06,-3.565000027E+00,-282.498129E-03
-59.000E-06,-3.719954304E+00,-282.500004E-03
-58.000E-06,-3.565044977E+00,-282.500004E-03
-57.000E-06,-3.719955854E+00,-288.748223E-03
-56.000E-06,-3.720000029E+00,-282.501754E-03
-55.000E-06,-3.410085276E+00,-282.500004E-03
-54.000E-06,-3.719916329E+00,-282.500004E-03
-53.000E-06,-3.720000029E+00,-288.748348E-03
-52.000E-06,-3.720000029E+00,-288.750004E-03
-51.000E-06,-3.720000029E+00,-288.750004E-03
-50.000E-06,-3.565038777E+00,-282.501567E-03
-49.000E-06,-3.565000027E+00,-282.500004E-03
-48.000E-06,-3.565000027E+00,-282.500004E-03
-47.000E-06,-3.719963604E+00,-276.251473E-03
-46.000E-06,-3.720000029E+00,-282.498567E-03
-45.000E-06,-3.720000029E+00,-282.500004E-03
-44.000E-06,-3.720000029E+00,-288.748629E-03
-43.000E-06,-3.720000029E+00,-282.501348E-03
-42.000E-06,-3.720000029E+00,-282.500004E-03
-41.000E-06,-3.720000029E+00,-288.748723E-03
-40.000E-06,-3.565031027E+00,-288.750004E-03
-39.000E-06,-3.719969804E+00,-288.750004E-03
-38.000E-06,-3.720000029E+00,-282.501192E-03
-37.000E-06,-3.720000029E+00,-282.500004E-03
