second,Volt
-236.000E-06,+915.625095E-03
-234.000E-06,+931.250095E-03
-232.000E-06,+946.875095E-03
-230.000E-06,+950.781345E-03
-228.000E-06,+962.500095E-03
-226.000E-06,+974.218845E-03
-224.000E-06,+989.843845E-03
-222.000E-06,+1.001562595E+00
-220.000E-06,+1.017187595E+00
-218.000E-06,+1.036718845E+00
-216.000E-06,+1.048437595E+00
-214.000E-06,+1.064062595E+00
-212.000E-06,+1.087500095E+00
-210.000E-06,+1.099218845E+00
-208.000E-06,+1.114843845E+00
-206.000E-06,+1.138281345E+00
-204.000E-06,+1.157812595E+00
-202.000E-06,+1.177343845E+00
-200.000E-06,+1.200781345E+00
-198.000E-06,+1.224218845E+00
-196.000E-06,+1.239843845E+00
-194.000E-06,+1.271093845E+00
-192.000E-06,+1.294531345E+00
-190.000E-06,+1.317968845E+00
-188.000E-06,+1.345312595E+00
-186.000E-06,+1.372656345E+00
-184.000E-06,+1.400000095E+00
-182.000E-06,+1.427343845E+00
-180.000E-06,+1.446875095E+00
-178.000E-06,+1.482031345E+00
-176.000E-06,+1.509375095E+00
-174.000E-06,+1.536718845E+00
-172.000E-06,+1.571875095E+00
-170.000E-06,+1.603125095E+00
-168.000E-06,+1.630468845E+00
-166.000E-06,+1.665625095E+00
-164.000E-06,+1.692968845E+00
-162.000E-06,+1.724218845E+00
-160.000E-06,+1.763281345E+00
-158.000E-06,+1.794531345E+00
-156.000E-06,+1.833593845E+00
-154.000E-06,+1.864843845E+00
-152.000E-06,+1.903906345E+00
-150.000E-06,+1.942968845E+00
-148.000E-06,+1.974218845E+00
-146.000E-06,+2.017187595E+00
-144.000E-06,+2.056250095E+00
-142.000E-06,+2.091406345E+00
-140.000E-06,+2.134375095E+00
-138.000E-06,+2.173437595E+00
-136.000E-06,+2.208593845E+00
-134.000E-06,+2.247656345E+00
-132.000E-06,+2.290625095E+00
-130.000E-06,+2.333593845E+00
-128.000E-06,+2.372656345E+00
-126.000E-06,+2.411718845E+00
-124.000E-06,+2.454687595E+00
-122.000E-06,+2.497656345E+00
-120.000E-06,+2.540625095E+00
-118.000E-06,+2.583593845E+00
-116.000E-06,+2.626562595E+00
-114.000E-06,+2.681250095E+00
-112.000E-06,+2.724218845E+00
-110.000E-06,+2.771093845E+00
-108.000E-06,+2.817968845E+00
-106.000E-06,+2.857031345E+00
-104.000E-06,+2.907812595E+00
-102.000E-06,+2.958593845E+00
-100.000E-06,+3.009375095E+00
-98.000E-06,+3.064062595E+00
-96.000E-06,+3.114843845E+00
-94.000E-06,+3.169531345E+00
-92.000E-06,+3.220312595E+00
-90.000E-06,+3.271093845E+00
-88.000E-06,+3.321875095E+00
-86.000E-06,+3.372656345E+00
-84.000E-06,+3.423437595E+00
-82.000E-06,+3.478125095E+00
-80.000E-06,+3.536718845E+00
-78.000E-06,+3.583593845E+00
-76.000E-06,+3.638281345E+00
-74.000E-06,+3.696875095E+00
-72.000E-06,+3.747656345E+00
-70.000E-06,+3.806250095E+00
-68.000E-06,+3.860937595E+00
-66.000E-06,+3.919531345E+00
-64.000E-06,+3.974218845E+00
-62.000E-06,+4.032812595E+00
-60.000E-06,+4.099218845E+00
-58.000E-06,+4.150000095E+00
-56.000E-06,+4.204687595E+00
-54.000E-06,+4.259375095E+00
-52.000E-06,+4.317968845E+00
-50.000E-06,+4.372656345E+00
-48.000E-06,+4.427343845E+00
-46.000E-06,+4.493750095E+00
-44.000E-06,+4.544531345E+00
-42.000E-06,+4.607031345E+00
-40.000E-06,+4.669531345E+00
-38.000E-06,+4.728125095E+00
-36.000E-06,+4.790625095E+00
-34.000E-06,+4.853125095E+00
-32.000E-06,+4.911718845E+00
-30.000E-06,+4.974218845E+00
-28.000E-06,+5.036718845E+00
-26.000E-06,+5.095312595E+00
-24.000E-06,+5.161718845E+00
-22.000E-06,+5.228125095E+00
-20.000E-06,+5.290625095E+00
-18.000E-06,+5.353125095E+00
-16.000E-06,+5.419531345E+00
-14.000E-06,+5.482031345E+00
-12.000E-06,+5.548437595E+00
-10.000E-06,+5.614843845E+00
-8.000E-06,+5.677343845E+00
-6.000E-06,+5.739843845E+00
-4.000E-06,+5.806250095E+00
-2.000E-06,+5.876562595E+00
+0.0E+00,+5.939062595E+00
+2.000E-06,+6.005468845E+00
+4.000E-06,+6.075781345E+00
+6.000E-06,+6.134375095E+00
+8.000E-06,+6.200781345E+00
+10.000E-06,+6.255468845E+00
